,continent,country,year,rate,gdp,population
15,Asia,Afghanistan,2020,20.0,22.0,39074280
41,Africa,Angola,2020,30.0,101.2,33032075
67,Europe,Albania,2020,15.0,15.6,2877239
108,South America,Argentina,2020,30.0,456.1,45267449
133,Asia,Armenia,2020,18.0,14.1,2964219
162,North America,Antigua and Barbuda,2020,25.0,1.5,98069
203,Oceania,Australia,2020,30.0,1542.4,25550683
244,Europe,Austria,2020,25.0,459.7,9015361
268,Asia,Azerbaijan,2020,20.0,61.5,10154978
274,Africa,Burundi,2020,30.0,2.4,11948454
315,Europe,Belgium,2020,25.0,545.7,11598451
326,Africa,Benin,2020,30.0,11.6,12175480
347,Africa,Burkina Faso,2020,28.0,15.6,20997293
377,Asia,Bangladesh,2020,25.0,220.6,164972348
405,Europe,Bulgaria,2020,10.0,65.0,6939018
426,Europe,Bosnia and Herzegovina,2020,10.0,21.4,3277152
456,Europe,Belarus,2020,18.0,65.8,9448772
489,North America,Belize,2020,25.0,1.7,398845
530,South America,Brazil,2020,34.0,2379.5,212821986
571,North America,Barbados,2020,5.5,4.8,287437
582,Asia,Bhutan,2020,30.0,2.7,773069
623,Africa,Botswana,2020,22.0,19.6,2359585
631,Africa,Central African Republic,2020,30.0,1.8,4843954
671,North America,Canada,2020,26.47,1981.0,37799407
711,Europe,Switzerland,2020,21.148581,691.0,8665615
752,South America,Chile,2020,25.0,297.6,19144605
793,Asia,China,2020,25.0,12214.9,1440297825
825,Africa,Cameroon,2020,33.0,41.2,26655083
856,Africa,Congo,2020,30.0,14.8,5540555
897,South America,Colombia,2020,32.0,402.9,50976248
907,Africa,Cabo Verde,2020,22.0,2.2,557026
948,North America,Costa Rica,2020,30.0,51.9,5102158
989,Europe,Cyprus,2020,12.5,28.3,1208886
1029,Europe,Germany,2020,29.897059000000002,4021.0,83830972
1035,Africa,Djibouti,2020,25.0,2.1,990447
1058,North America,Dominica,2020,25.0,0.5,72017
1099,Europe,Denmark,2020,22.0,376.5,5795780
1140,North America,Dominican Republic,2020,27.0,91.0,10866667
1149,Africa,Algeria,2020,26.0,209.8,43984569
1190,South America,Ecuador,2020,25.0,88.6,17688599
1231,Africa,Egypt,2020,22.5,311.9,102659126
1239,Africa,Eritrea,2020,30.0,3.2,3554797
1280,Europe,Spain,2020,25.0,1613.7,46757980
1308,Europe,Estonia,2020,20.0,28.0,1326693
1333,Africa,Ethiopia,2020,30.0,64.9,115434444
1373,Europe,Finland,2020,20.0,276.5,5542237
1414,Oceania,Fiji,2020,20.0,4.4,897573
1455,Europe,France,2020,32.02,3003.6,65298930
1488,Africa,Gabon,2020,30.0,20.7,2234448
1509,Asia,Georgia,2020,15.0,18.0,3987805
1540,Africa,Ghana,2020,25.0,60.5,31181428
1565,Africa,Guinea,2020,35.0,12.7,13191279
1574,Africa,Gambia,2020,31.0,1.3,2427782
1584,Africa,Guinea-Bissau,2020,25.0,1.3,1975718
1601,Africa,Equatorial Guinea,2020,35.0,12.8,1410419
1641,Europe,Greece,2020,24.0,263.2,10413936
1664,North America,Grenada,2020,28.0,1.1,112614
1705,North America,Guatemala,2020,25.0,57.9,17971382
1733,South America,Guyana,2020,25.0,4.2,787215
1774,North America,Honduras,2020,25.0,22.7,9931333
1799,Europe,Croatia,2020,18.0,68.4,4100719
1822,North America,Haiti,2020,30.0,8.5,11426356
1854,Europe,Hungary,2020,9.0,174.3,9655983
1895,Asia,Indonesia,2020,25.0,1266.7,274021604
1936,Asia,India,2020,30.0,3228.9,1382345085
1977,Europe,Ireland,2020,12.5,401.4,4947267
1990,Asia,Iraq,2020,15.0,219.2,40372771
2018,Europe,Iceland,2020,20.0,18.7,341628
2044,Asia,Israel,2020,23.0,330.4,8678517
2084,Europe,Italy,2020,27.81,2146.8,60446035
2125,North America,Jamaica,2020,25.0,14.7,2963429
2152,Asia,Jordan,2020,20.0,33.4,10220604
2183,Asia,Japan,2020,29.74,6272.3,126407422
2214,Asia,Kazakhstan,2020,20.0,216.8,18815231
2255,Africa,Kenya,2020,30.0,69.1,53968739
2271,Asia,Kyrgyzstan,2020,10.0,7.3,6542426
2289,Asia,Cambodia,2020,20.0,22.3,16758448
2313,Asia,South Korea,2020,27.5,1440.1,51276977
2351,Asia,Kuwait,2020,15.0,146.3,4281320
2382,Asia,Lebanon,2020,17.0,44.2,6819976
2413,Africa,Liberia,2020,25.0,1.7,5077411
2439,Africa,Libya,2020,20.0,55.0,6887247
2469,North America,Saint Lucia,2020,30.0,1.6,183774
